AUC,accuracy,loss,precision,recall,val_AUC,val_accuracy,val_loss,val_precision,val_recall
0.9978538155555725,0.9851024150848389,0.05280064791440964,0.9851024150848389,0.9851024150848389,0.6775962114334106,0.6240601539611816,1.6305826902389526,0.6240601539611816,0.6240601539611816
0.9962244033813477,0.9801365733146667,0.05837517976760864,0.9801365733146667,0.9801365733146667,0.9756911993026733,0.969924807548523,0.15095792710781097,0.969924807548523,0.969924807548523
0.9979852437973022,0.9882060885429382,0.049062520265579224,0.9882060885429382,0.9882060885429382,0.9738820791244507,0.9624060392379761,0.13534186780452728,0.9624060392379761,0.9624060392379761
0.9998859167098999,0.994413435459137,0.027837278321385384,0.994413435459137,0.994413435459137,0.9749563336372375,0.9624060392379761,0.1509876698255539,0.9624060392379761,0.9624060392379761
0.999399721622467,0.9875853657722473,0.04008874297142029,0.9875853657722473,0.9875853657722473,0.9556786417961121,0.9248120188713074,0.23607157170772552,0.9248120188713074,0.9248120188713074
0.9984005093574524,0.9913097620010376,0.036587368696928024,0.9913097620010376,0.9913097620010376,0.6416982412338257,0.5864661931991577,1.8348959684371948,0.5864661931991577,0.5864661931991577
0.9980700612068176,0.9875853657722473,0.041609689593315125,0.9875853657722473,0.9875853657722473,0.981853187084198,0.9548872113227844,0.13608816266059875,0.9548872113227844,0.9548872113227844
0.9984236359596252,0.990068256855011,0.038400985300540924,0.990068256855011,0.990068256855011,0.9813444018363953,0.9548872113227844,0.11133172363042831,0.9548872113227844,0.9548872113227844
0.9992748498916626,0.9962756037712097,0.02122625894844532,0.9962756037712097,0.9962756037712097,0.9703206419944763,0.9398496150970459,0.18702004849910736,0.9398496150970459,0.9398496150970459
0.9991986155509949,0.9919304847717285,0.025215979665517807,0.9919304847717285,0.9919304847717285,0.9475945234298706,0.9172932505607605,0.31730207800865173,0.9172932505607605,0.9172932505607605
0.9998196959495544,0.9925512075424194,0.022032923996448517,0.9925512075424194,0.9925512075424194,0.41161173582077026,0.39849624037742615,3.67484450340271,0.39849624037742615,0.39849624037742615
0.9977244138717651,0.9894475340843201,0.03608483448624611,0.9894475340843201,0.9894475340843201,0.9843405485153198,0.9473684430122375,0.15470075607299805,0.9473684430122375,0.9473684430122375
0.9999955892562866,0.9993792772293091,0.010284745134413242,0.9993792772293091,0.9993792772293091,0.9907852411270142,0.969924807548523,0.0927940160036087,0.969924807548523,0.969924807548523
0.9999969601631165,0.9987585544586182,0.007097906898707151,0.9987585544586182,0.9987585544586182,0.9261687397956848,0.8947368264198303,0.3661060929298401,0.8947368264198303,0.8947368264198303
0.9999980926513672,0.9993792772293091,0.008673157542943954,0.9993792772293091,0.9993792772293091,0.9920289516448975,0.9924812316894531,0.06990960985422134,0.9924812316894531,0.9924812316894531
0.9999715089797974,0.9968963265419006,0.01023823395371437,0.9968963265419006,0.9968963265419006,0.9245293736457825,0.9097744226455688,0.3673378825187683,0.9097744226455688,0.9097744226455688
0.9999687671661377,0.9968963265419006,0.00969373993575573,0.9968963265419006,0.9968963265419006,0.9901633858680725,0.9774436354637146,0.09603693336248398,0.9774436354637146,0.9774436354637146
0.9999775886535645,0.9987585544586182,0.00915219634771347,0.9987585544586182,0.9987585544586182,0.9235682487487793,0.8872180581092834,0.4734364151954651,0.8872180581092834,0.8872180581092834
0.9999938011169434,0.9987585544586182,0.007583422586321831,0.9987585544586182,0.9987585544586182,0.9825315475463867,0.9473684430122375,0.13203978538513184,0.9473684430122375,0.9473684430122375
0.9999425411224365,0.9975170493125916,0.011315006762742996,0.9975170493125916,0.9975170493125916,0.9075132012367249,0.8796992301940918,0.5380971431732178,0.8796992301940918,0.8796992301940918
0.999995768070221,0.9993792772293091,0.007722845766693354,0.9993792772293091,0.9993792772293091,0.6813839673995972,0.6390977501869202,1.666140079498291,0.6390977501869202,0.6390977501869202
0.9999698996543884,0.9981378316879272,0.010863794945180416,0.9981378316879272,0.9981378316879272,0.9737125039100647,0.9473684430122375,0.20631083846092224,0.9473684430122375,0.9473684430122375
0.9999999403953552,1.0,0.005245470907539129,1.0,1.0,0.9759737849235535,0.969924807548523,0.16168005764484406,0.969924807548523,0.969924807548523
1.0,1.0,0.005395112093538046,1.0,1.0,0.983944833278656,0.969924807548523,0.11300788074731827,0.969924807548523,0.969924807548523
0.9999988079071045,0.9993792772293091,0.0047750272788107395,0.9993792772293091,0.9993792772293091,0.9646673202514648,0.9473684430122375,0.2511383891105652,0.9473684430122375,0.9473684430122375
