loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0.025741511955857277,0.9925249218940735,0.9925249218940735,0.9925249218940735,0.9998790621757507,0.2509695887565613,0.9402984976768494,0.9402984976768494,0.9402984976768494,0.9764981269836426
0.021621285006403923,0.9944629073143005,0.9944629073143005,0.9944629073143005,0.9999089241027832,0.10135429352521896,0.9701492786407471,0.969924807548523,0.9626865386962891,0.9973825812339783
0.02804866060614586,0.9908638000488281,0.9908638000488281,0.9908638000488281,0.9998421669006348,0.31454259157180786,0.888059675693512,0.888059675693512,0.888059675693512,0.9729477167129517
0.027458207681775093,0.9919711947441101,0.9922459125518799,0.9919711947441101,0.9998262524604797,0.2677706480026245,0.9328358173370361,0.9328358173370361,0.9328358173370361,0.9772220253944397
0.03594476357102394,0.9883720874786377,0.9891877174377441,0.9878183603286743,0.9994701743125916,0.7090543508529663,0.9328358173370361,0.9328358173370361,0.9328358173370361,0.9594007730484009
0.017871221527457237,0.9947397708892822,0.9947397708892822,0.9947397708892822,0.9999544024467468,0.1112944632768631,0.9626865386962891,0.9626865386962891,0.9626865386962891,0.9970762729644775
0.01804930530488491,0.9947397708892822,0.9947397708892822,0.9947397708892822,0.9999399185180664,0.14219287037849426,0.9477611780166626,0.9477611780166626,0.9477611780166626,0.992175281047821
0.026304805651307106,0.9916943311691284,0.991692066192627,0.9914174675941467,0.9998267292976379,0.16399581730365753,0.9626865386962891,0.9626865386962891,0.9626865386962891,0.9914652109146118
0.0289689302444458,0.9916943311691284,0.9919689893722534,0.9916943311691284,0.9997740983963013,2.6774516105651855,0.5820895433425903,0.5820895433425903,0.5820895433425903,0.8008187413215637
0.02188863418996334,0.9928017854690552,0.9928017854690552,0.9928017854690552,0.9998964071273804,0.1615668684244156,0.9701492786407471,0.9701492786407471,0.9701492786407471,0.9859238862991333
0.02634027786552906,0.9914174675941467,0.9919623136520386,0.9908638000488281,0.9998068809509277,0.4562828540802002,0.9402984976768494,0.9402984976768494,0.9402984976768494,0.9660001993179321
0.0233042910695076,0.9936323165893555,0.9936323165893555,0.9936323165893555,0.9998458027839661,0.6131331324577332,0.9328358173370361,0.9328358173370361,0.9328358173370361,0.9614334106445312
0.021502209827303886,0.9936323165893555,0.9939058423042297,0.9933554530143738,0.9998746514320374,0.1210937350988388,0.9626865386962891,0.9626865386962891,0.9626865386962891,0.9929410219192505
0.022599011659622192,0.9936323165893555,0.9939075112342834,0.9936323165893555,0.9998388886451721,0.09407893568277359,0.9701492786407471,0.9701492786407471,0.9701492786407471,0.9981064200401306
0.023020006716251373,0.9925249218940735,0.9930728673934937,0.9922480583190918,0.9998526573181152,1.0429754257202148,0.6865671873092651,0.689393937587738,0.6791045069694519,0.8739001154899597
0.020160820335149765,0.9936323165893555,0.9939075112342834,0.9936323165893555,0.999888002872467,4.752933502197266,0.4552238881587982,0.4552238881587982,0.4552238881587982,0.6719064116477966
0.019576605409383774,0.9933554530143738,0.9933554530143738,0.9933554530143738,0.999901294708252,2.653174877166748,0.5149253606796265,0.5149253606796265,0.5149253606796265,0.7536476850509644
0.03683239594101906,0.9892026782035828,0.9894737005233765,0.9889258146286011,0.9990731477737427,0.11826813966035843,0.9626865386962891,0.9626865386962891,0.9626865386962891,0.9978280067443848
0.03195270150899887,0.9897563457489014,0.9897563457489014,0.9897563457489014,0.9992848038673401,3.2214245796203613,0.5671641826629639,0.5671641826629639,0.5671641826629639,0.7802684307098389
0.02256258949637413,0.9925249218940735,0.9927997589111328,0.9925249218940735,0.9998632669448853,0.5366908311843872,0.8358209133148193,0.8358209133148193,0.8358209133148193,0.9420667290687561
0.01387131866067648,0.996954619884491,0.9969537258148193,0.9966777563095093,0.9999643564224243,0.1122366189956665,0.9776119589805603,0.9776119589805603,0.9776119589805603,0.992119550704956
0.010233097709715366,0.9975082874298096,0.9975082874298096,0.9975082874298096,0.9999642968177795,0.08999736607074738,0.9626865386962891,0.9626865386962891,0.9626865386962891,0.9989835619926453
0.011155359447002411,0.9966777563095093,0.9966768026351929,0.9964008927345276,0.9999614953994751,0.6129545569419861,0.89552241563797,0.89552241563797,0.89552241563797,0.9559339880943298
0.007655024062842131,0.998892605304718,0.998892605304718,0.998892605304718,0.9999945759773254,0.27146023511886597,0.9477611780166626,0.9477611780166626,0.9477611780166626,0.9820672869682312
0.005497882142663002,0.9994462728500366,0.9994462728500366,0.9994462728500366,0.9999983906745911,0.1037680134177208,0.9776119589805603,0.9776119589805603,0.9776119589805603,0.9878314137458801
